name,tr_n,tr_wr,tr_total,tr_tpd,tr_worst,te_n,te_wr,te_total,te_tpd,te_worst,ok
15min_tp2.0_sl1.2_f4_s1_h7-13,4,0.25,-1.0666666666666669,0.08163265306122448,-0.8,2,0.5,0.5333333333333334,0.08,-0.8,False
15min_tp2.0_sl1.2_f8_s1_h7-13,4,0.25,-1.0666666666666669,0.08163265306122448,-0.8,2,0.5,0.5333333333333334,0.08,-0.8,False
30min_tp1.0_sl1.5_f4_s1_h7-21,3,0.0,-2.103262043637992,0.061224489795918366,-0.8,1,1.0,0.5333333333333334,0.04,0.0,False
30min_tp1.0_sl1.5_f4_s1_h7-13,1,0.0,-0.8,0.02040816326530612,-0.8,1,1.0,0.5333333333333334,0.04,0.0,False
30min_tp1.0_sl1.5_f4_s1_h12-21,2,0.0,-1.303262043637992,0.04081632653061224,-0.8,1,1.0,0.5333333333333334,0.04,0.0,False
30min_tp1.0_sl1.5_f4_s0_h7-13,1,0.0,-0.8,0.02040816326530612,-0.8,1,1.0,0.5333333333333334,0.04,0.0,False
30min_tp1.0_sl1.5_f8_s1_h7-21,2,0.0,-1.6,0.04081632653061224,-0.8,1,1.0,0.5333333333333334,0.04,0.0,False
30min_tp1.0_sl1.5_f8_s1_h7-13,1,0.0,-0.8,0.02040816326530612,-0.8,1,1.0,0.5333333333333334,0.04,0.0,False
30min_tp1.0_sl1.5_f8_s1_h12-21,1,0.0,-0.8,0.02040816326530612,-0.8,1,1.0,0.5333333333333334,0.04,0.0,False
30min_tp1.0_sl1.5_f8_s0_h7-13,1,0.0,-0.8,0.02040816326530612,-0.8,1,1.0,0.5333333333333334,0.04,0.0,False
15min_tp1.0_sl1.5_f4_s0_h7-13,10,0.6,0.0,0.20408163265306123,-0.8,5,0.6,0.2666666666666666,0.2,-0.8,False
15min_tp1.0_sl1.5_f8_s0_h7-13,9,0.5555555555555556,-0.5333333333333334,0.1836734693877551,-0.8,5,0.6,0.2666666666666666,0.2,-0.8,False
15min_tp1.5_sl1.2_f4_s1_h7-13,4,0.25,-1.4000000000000001,0.08163265306122448,-0.8,2,0.5,0.20000000000000018,0.08,-0.8,False
15min_tp1.5_sl1.2_f8_s1_h7-13,4,0.25,-1.4000000000000001,0.08163265306122448,-0.8,2,0.5,0.20000000000000018,0.08,-0.8,False
15min_tp1.5_sl1.2_f4_s1_h7-21,12,0.3333333333333333,-2.153440094899066,0.24489795918367346,-0.8,7,0.42857142857142855,0.1876764386535783,0.28,-0.8,False
15min_tp1.5_sl1.2_f8_s1_h7-21,11,0.36363636363636365,-1.3534400948990664,0.22448979591836735,-0.8,7,0.42857142857142855,0.1876764386535783,0.28,-0.8,False
15min_tp1.0_sl1.5_f4_s1_h7-21,12,0.4166666666666667,-3.333333333333334,0.24489795918367346,-0.8,7,0.5714285714285714,-0.0868621064060795,0.28,-0.8,False
15min_tp1.0_sl1.5_f8_s1_h7-21,11,0.45454545454545453,-2.533333333333334,0.22448979591836735,-0.8,7,0.5714285714285714,-0.0868621064060795,0.28,-0.8,False
15min_tp2.0_sl1.2_f4_s0_h12-21,19,0.3684210526315789,-0.24643619291481333,0.3877551020408163,-0.8,14,0.35714285714285715,-0.34454536008419057,0.56,-1.2000000000000002,False
15min_tp2.0_sl1.2_f8_s0_h12-21,17,0.35294117647058826,-0.7797695262481468,0.3469387755102041,-0.8,14,0.35714285714285715,-0.34454536008419057,0.56,-1.2000000000000002,False
15min_tp1.0_sl1.5_f4_s1_h12-21,8,0.375,-2.4000000000000004,0.16326530612244897,-0.8,6,0.5,-0.6201954397394129,0.24,-0.8,False
15min_tp1.0_sl1.5_f8_s1_h12-21,7,0.42857142857142855,-1.6000000000000005,0.14285714285714285,-0.8,6,0.5,-0.6201954397394129,0.24,-0.8,False
15min_tp1.5_sl1.2_f4_s0_h12-21,19,0.3684210526315789,-2.4714682031581265,0.3877551020408163,-0.8,14,0.35714285714285715,-1.1876275160365337,0.56,-1.2000000000000002,False
15min_tp1.5_sl1.2_f8_s0_h12-21,17,0.35294117647058826,-2.6714682031581267,0.3469387755102041,-0.8,14,0.35714285714285715,-1.1876275160365337,0.56,-1.2000000000000002,False
15min_tp1.2_sl1.6_f4_s0_h7-13,10,0.6,0.3999999999999997,0.20408163265306123,-0.8,5,0.4,-1.5,0.2,-0.8,False
15min_tp1.2_sl1.6_f8_s0_h7-13,9,0.5555555555555556,-0.20000000000000018,0.1836734693877551,-0.8,5,0.4,-1.5,0.2,-0.8,False
15min_tp1.0_sl1.5_f4_s0_h12-21,19,0.3684210526315789,-5.363038993710569,0.3877551020408163,-0.8,14,0.42857142857142855,-1.7234073130855703,0.56,-1.2000000000000002,False
15min_tp1.0_sl1.5_f8_s0_h12-21,17,0.35294117647058826,-5.096372327043903,0.3469387755102041,-0.8,14,0.42857142857142855,-1.7234073130855703,0.56,-1.2000000000000002,False
15min_tp1.2_sl1.6_f4_s0_h7-21,28,0.42857142857142855,-5.238974056603629,0.5714285714285714,-0.8,18,0.4444444444444444,-1.7274207403825437,0.72,-1.2000000000000002,False
15min_tp1.2_sl1.6_f8_s0_h7-21,26,0.4230769230769231,-5.038974056603629,0.5306122448979592,-0.8,18,0.4444444444444444,-1.7274207403825437,0.72,-1.2000000000000002,False
15min_tp2.0_sl1.2_f4_s0_h7-21,28,0.35714285714285715,-1.1558074859158798,0.5714285714285714,-1.2000000000000002,18,0.3333333333333333,-2.522305897968974,0.72,-1.2000000000000002,False
15min_tp2.0_sl1.2_f8_s0_h7-21,26,0.34615384615384615,-1.689140819249213,0.5306122448979592,-1.2000000000000002,18,0.3333333333333333,-2.522305897968974,0.72,-1.2000000000000002,False
15min_tp2.0_sl1.2_f4_s0_h7-13,10,0.4,0.5333333333333337,0.20408163265306123,-0.8,5,0.2,-2.533333333333333,0.2,-0.8,False
15min_tp2.0_sl1.2_f8_s0_h7-13,9,0.3333333333333333,-0.7999999999999998,0.1836734693877551,-0.8,5,0.2,-2.533333333333333,0.2,-0.8,False
15min_tp1.5_sl1.2_f4_s0_h7-13,10,0.4,-0.8,0.20408163265306123,-0.8,5,0.2,-2.7,0.2,-0.8,False
15min_tp1.5_sl1.2_f8_s0_h7-13,9,0.3333333333333333,-1.8,0.1836734693877551,-0.8,5,0.2,-2.7,0.2,-0.8,False
15min_tp1.0_sl1.5_f4_s0_h7-21,28,0.42857142857142855,-6.052105660377207,0.5714285714285714,-0.8,18,0.3888888888888889,-3.3765751434450992,0.72,-1.2000000000000002,False
15min_tp1.0_sl1.5_f8_s0_h7-21,26,0.4230769230769231,-5.785438993710541,0.5306122448979592,-0.8,18,0.3888888888888889,-3.3765751434450992,0.72,-1.2000000000000002,False
15min_tp1.5_sl1.2_f4_s0_h7-21,28,0.35714285714285715,-4.124908298057192,0.5714285714285714,-1.2000000000000002,18,0.3333333333333333,-3.424671736362452,0.72,-1.2000000000000002,False
15min_tp1.5_sl1.2_f8_s0_h7-21,26,0.34615384615384615,-4.324908298057192,0.5306122448979592,-1.2000000000000002,18,0.3333333333333333,-3.424671736362452,0.72,-1.2000000000000002,False
