trig,re,eu,tp,slm,tr_n,tr_wr,tr_total,tr_tpd,tr_worst,te_n,te_wr,te_total,te_tpd,te_worst,both_pos
30min,8,12,1.5,far,75,0.4666666666666667,0.6134126313309434,0.7211538461538461,-1.0,34,0.5588235294117647,5.676078430884966,0.6938775510204082,-1.0,True
30min,8,12,2.0,mid,75,0.38666666666666666,0.6447363558506707,0.7211538461538461,-1.0,34,0.4411764705882353,10.352928304419486,0.6938775510204082,-1.0,True
30min,8,12,2.0,far,75,0.4533333333333333,0.8064469969454242,0.7211538461538461,-1.0,34,0.5588235294117647,5.898210224479396,0.6938775510204082,-1.0,True
30min,8,14,1.0,mid,94,0.4787234042553192,10.88389378471686,0.9038461538461539,-1.0,40,0.475,5.487635134466617,0.8163265306122449,-1.0,True
30min,8,14,1.0,far,94,0.5425531914893617,2.9337865423922196,0.9038461538461539,-1.0,40,0.575,3.3817076161477098,0.8163265306122449,-1.0,True
30min,8,14,1.25,mid,94,0.4574468085106383,10.72795343643927,0.9038461538461539,-1.0,40,0.475,9.951963915069037,0.8163265306122449,-1.0,True
30min,8,14,1.25,far,94,0.5212765957446809,2.983417633531996,0.9038461538461539,-1.0,40,0.575,6.126997364469582,0.8163265306122449,-1.0,True
30min,8,14,1.5,mid,94,0.43617021276595747,8.82103091660112,0.9038461538461539,-1.0,40,0.425,7.247617732557359,0.8163265306122449,-1.0,True
30min,8,14,1.5,far,94,0.5,1.841219965322689,0.9038461538461539,-1.0,40,0.525,3.7113630820744294,0.8163265306122449,-1.0,True
30min,8,14,2.0,mid,94,0.425531914893617,5.302185959710494,0.9038461538461539,-1.0,40,0.425,8.440910277273707,0.8163265306122449,-1.0,True
30min,8,14,2.0,far,94,0.48936170212765956,2.3182549578988443,0.9038461538461539,-1.0,40,0.525,3.933494875668858,0.8163265306122449,-1.0,True
