name,trades,wr,total,mean_day,worst_day,tpd,pos_months,n_months
5min_tp1.0_sl2.0_AB_m1,11,0.45454545454545453,-3.2652392587430974,-0.4081549073428872,-1.0,1.375,1,2
15min_tp1.2_sl1.6_B_m0,13,0.38461538461538464,-3.3834978515283947,-0.28195815429403287,-0.8,1.0833333333333333,1,4
5min_tp1.5_sl1.5_B_m1,9,0.2222222222222222,-4.158024814019335,-0.5940035448599049,-0.8,1.2857142857142858,0,2
5min_tp1.2_sl1.6_B_m1,10,0.3,-4.843374320026952,-0.6919106171467074,-0.8,1.4285714285714286,0,2
5min_tp1.5_sl1.5_AB_m1,10,0.2,-5.358024814019335,-0.669753101752417,-1.0,1.25,0,2
5min_tp1.0_sl2.0_B_m0,31,0.45161290322580644,-5.715239258743097,-0.27215425041633795,-1.4000000000000001,1.4761904761904763,2,4
5min_tp1.2_sl1.6_AB_m1,11,0.2727272727272727,-6.043374320026952,-0.7554217900033691,-1.0,1.375,0,2
5min_tp2.0_sl1.2_A_m0,18,0.2222222222222222,-6.333333333333334,-0.6333333333333334,-1.4000000000000001,1.8,1,3
5min_tp1.0_sl2.0_A_m0,18,0.3888888888888889,-6.3999999999999995,-0.64,-1.1,1.8,0,3
5min_tp1.5_sl1.5_A_m0,18,0.2777777777777778,-6.6000000000000005,-0.6600000000000001,-1.4000000000000001,1.8,0,3
5min_tp0.7_sl2.8_B_m0,31,0.5483870967741935,-6.815625,-0.32455357142857144,-1.5,1.4761904761904763,1,4
5min_tp2.0_sl1.2_AB_m0,41,0.2926829268292683,-7.051051461027643,-0.2937938108761518,-1.5,1.7083333333333333,2,4
5min_tp0.7_sl2.8_AB_m0,42,0.6190476190476191,-7.06171875,-0.29423828125,-1.5,1.75,1,4
5min_tp1.2_sl1.6_A_m0,18,0.2777777777777778,-7.100000000000001,-0.7100000000000001,-1.4000000000000001,1.8,0,3
5min_tp1.0_sl2.0_AB_m0,42,0.47619047619047616,-8.365239258743097,-0.34855163578096243,-1.5,1.75,2,4
5min_tp1.5_sl1.5_B_m0,30,0.26666666666666666,-8.958024814019335,-0.4265726101913969,-1.4000000000000001,1.4285714285714286,1,4
5min_tp1.2_sl1.6_B_m0,31,0.3225806451612903,-9.343374320026953,-0.44492258666795015,-1.4000000000000001,1.4761904761904763,1,4
5min_tp1.5_sl1.5_AB_m0,41,0.2926829268292683,-12.508024814019336,-0.521167700584139,-1.5,1.7083333333333333,1,4
5min_tp1.2_sl1.6_AB_m0,42,0.3333333333333333,-13.193374320026958,-0.5497239300011231,-1.5,1.75,1,4
